Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 36218ms | tok/sec: 14,475 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 313ms | tok/sec: 1,672,409 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442315 | lrm: 1.00 | dt: 318ms | tok/sec: 1,650,707 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971716 | lrm: 1.00 | dt: 360ms | tok/sec: 1,454,925 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578753 | lrm: 1.00 | dt: 355ms | tok/sec: 1,475,049 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248841 | lrm: 1.00 | dt: 344ms | tok/sec: 1,523,655 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998076 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,836 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787096 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,104 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607013 | lrm: 1.00 | dt: 357ms | tok/sec: 1,466,623 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455178 | lrm: 1.00 | dt: 350ms | tok/sec: 1,498,646 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325410 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,251 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217114 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,893 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120768 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,654 | mfu: 38.2% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034955 | lrm: 1.00 | dt: 388ms | tok/sec: 1,350,616 | mfu: 32.6% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 5.962881 | lrm: 1.00 | dt: 348ms | tok/sec: 1,504,692 | mfu: 36.4% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 5.898305 | lrm: 1.00 | dt: 337ms | tok/sec: 1,553,753 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.842159 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,411 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.787686 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,325 | mfu: 38.2% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.738772 | lrm: 1.00 | dt: 344ms | tok/sec: 1,523,925 | mfu: 36.8% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.693233 | lrm: 1.00 | dt: 335ms | tok/sec: 1,564,828 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.650840 | lrm: 1.00 | dt: 333ms | tok/sec: 1,576,269 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.610296 | lrm: 1.00 | dt: 333ms | tok/sec: 1,575,204 | mfu: 38.1% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.574368 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,019 | mfu: 38.1% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | loss: 5.536800 | lrm: 1.00 | dt: 334ms | tok/sec: 1,571,478 | mfu: 38.0% | epoch: 1 | remaining: 296s    
step 00024 (1.5%) | loss: 5.500855 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,105 | mfu: 38.3% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.468073 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,822 | mfu: 38.4% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.436957 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,180 | mfu: 38.6% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.406477 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,271 | mfu: 38.4% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.378410 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,634 | mfu: 38.5% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.349747 | lrm: 1.00 | dt: 343ms | tok/sec: 1,530,423 | mfu: 37.0% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.319198 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,165 | mfu: 38.4% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.289190 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,008 | mfu: 38.6% | epoch: 1 | remaining: 293s    
step 00032 (2.4%) | loss: 5.260951 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,063 | mfu: 38.1% | epoch: 1 | remaining: 293s    
step 00033 (2.5%) | loss: 5.234347 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,578 | mfu: 38.3% | epoch: 1 | remaining: 292s    
step 00034 (2.6%) | loss: 5.202588 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,466 | mfu: 38.4% | epoch: 1 | remaining: 292s    
step 00035 (2.7%) | loss: 5.175506 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,250 | mfu: 38.2% | epoch: 1 | remaining: 292s    
