Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 13046ms | tok/sec: 40,186 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,662 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442314 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,414 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971718 | lrm: 1.00 | dt: 408ms | tok/sec: 1,286,013 | mfu: 31.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578768 | lrm: 1.00 | dt: 442ms | tok/sec: 1,185,239 | mfu: 28.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248851 | lrm: 1.00 | dt: 368ms | tok/sec: 1,423,759 | mfu: 34.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998088 | lrm: 1.00 | dt: 432ms | tok/sec: 1,214,820 | mfu: 29.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787094 | lrm: 1.00 | dt: 374ms | tok/sec: 1,403,700 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607012 | lrm: 1.00 | dt: 371ms | tok/sec: 1,411,919 | mfu: 34.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455170 | lrm: 1.00 | dt: 418ms | tok/sec: 1,254,256 | mfu: 30.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325404 | lrm: 1.00 | dt: 340ms | tok/sec: 1,541,084 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217101 | lrm: 1.00 | dt: 375ms | tok/sec: 1,397,263 | mfu: 33.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120734 | lrm: 1.00 | dt: 348ms | tok/sec: 1,505,167 | mfu: 36.4% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034876 | lrm: 1.00 | dt: 388ms | tok/sec: 1,352,570 | mfu: 32.7% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 5.962749 | lrm: 1.00 | dt: 366ms | tok/sec: 1,433,342 | mfu: 34.6% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 5.898225 | lrm: 1.00 | dt: 371ms | tok/sec: 1,414,135 | mfu: 34.2% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.842101 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,705 | mfu: 39.5% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.787576 | lrm: 1.00 | dt: 350ms | tok/sec: 1,499,938 | mfu: 36.2% | epoch: 1 | remaining: 297s    
step 00018 (0.8%) | loss: 5.738587 | lrm: 1.00 | dt: 395ms | tok/sec: 1,327,619 | mfu: 32.1% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 5.693027 | lrm: 1.00 | dt: 381ms | tok/sec: 1,376,611 | mfu: 33.3% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 5.650669 | lrm: 1.00 | dt: 358ms | tok/sec: 1,464,858 | mfu: 35.4% | epoch: 1 | remaining: 296s    
step 00021 (1.2%) | loss: 5.610120 | lrm: 1.00 | dt: 330ms | tok/sec: 1,586,942 | mfu: 38.3% | epoch: 1 | remaining: 296s    
step 00022 (1.3%) | loss: 5.574178 | lrm: 1.00 | dt: 369ms | tok/sec: 1,419,159 | mfu: 34.3% | epoch: 1 | remaining: 296s    
step 00023 (1.5%) | loss: 5.536606 | lrm: 1.00 | dt: 361ms | tok/sec: 1,450,793 | mfu: 35.1% | epoch: 1 | remaining: 295s    
step 00024 (1.6%) | loss: 5.500663 | lrm: 1.00 | dt: 488ms | tok/sec: 1,074,193 | mfu: 26.0% | epoch: 1 | remaining: 295s    
step 00025 (1.7%) | loss: 5.467835 | lrm: 1.00 | dt: 357ms | tok/sec: 1,467,426 | mfu: 35.5% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 5.436698 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,033 | mfu: 39.7% | epoch: 1 | remaining: 294s    
